Incendio,Scale,Size,Scale_factor,Scale_Ref_min,Scale_Ref_median,Scale_Ref_max
Artana,2000.0,5.45,366.9724770642202,0.2802857142857143,1.0,1.7901459854014599
Beneixama,2400.0,6.7,358.2089552238806,0.28714285714285714,1.0244648318042813,1.8339416058394162
Beniarda,720.0,7.0,102.85714285714286,1.0,3.567787971457696,6.386861313868613
Bolulla,1000.0,5.25,190.47619047619048,0.5399999999999999,1.9266055045871557,3.448905109489051
Carcaixent,3000.0,5.85,512.8205128205128,0.20057142857142857,0.7155963302752293,1.281021897810219
Chella,4500.0,6.85,656.9343065693431,0.15657142857142856,0.5586136595310907,1.0
Gatova,2500.0,5.8,431.0344827586207,0.23862857142857144,0.8513761467889909,1.524087591240876
Llutxent,3000.0,6.7,447.76119402985074,0.2297142857142857,0.8195718654434251,1.467153284671533
Montan,2000.0,9.1,219.7802197802198,0.46799999999999997,1.6697247706422016,2.989051094890511
Valld'Ebo,2000.0,4.55,439.5604395604396,0.23399999999999999,0.8348623853211008,1.4945255474452555
VallGallinera,1000.0,6.8,147.05882352941177,0.6994285714285714,2.495412844036697,4.467153284671533
